Country,Country Code,Continent,Region,Year,Emissions Per Capita,Emissions,Hazardous waste
Afghanistan,4,Asia,Southern Asia,2011,0.420932656,12251.447,200
Afghanistan,4,Asia,Southern Asia,2010,0.29828953,8470.77,200
Afghanistan,4,Asia,Southern Asia,2009,0.244570892,6776.616,200
Afghanistan,4,Asia,Southern Asia,2008,0.156001009,4217.05,200
Afghanistan,4,Asia,Southern Asia,2007,0.08656317,2280.874,400
Afghanistan,4,Asia,Southern Asia,2006,0.064666449,1657.484,200
Afghanistan,4,Asia,Southern Asia,2005,0.053837851,1338.455,200
Afghanistan,4,Asia,Southern Asia,2004,0.039847607,957.087,200
Afghanistan,4,Asia,Southern Asia,2003,0.044893348,1037.761,300
Afghanistan,4,Asia,Southern Asia,2002,0.04029887,894.748,456
Afghanistan,4,Asia,Southern Asia,2001,0.030232274,645.392,200
Afghanistan,4,Asia,Southern Asia,2000,0.03792461,781.071,456
Afghanistan,4,Asia,Southern Asia,1999,0.041647373,832.409,200
Afghanistan,4,Asia,Southern Asia,1998,0.054167558,1056.096,200
Afghanistan,4,Asia,Southern Asia,1997,0.058606527,1114.768,200
Afghanistan,4,Asia,Southern Asia,1996,0.065114798,1199.109,852
Afghanistan,4,Asia,Southern Asia,1995,0.072146977,1268.782,200
Afghanistan,4,Asia,Southern Asia,1994,0.080079985,1320.12,200
Afghanistan,4,Asia,Southern Asia,1993,0.090615852,1375.125,456
Afghanistan,4,Asia,Southern Asia,1992,0.103278005,1426.463,855
Afghanistan,4,Asia,Southern Asia,1991,0.197712615,2493.56,200
Afghanistan,4,Asia,Southern Asia,1990,0.228187363,2676.91,200
Albania,8,Europe,Southern Europe,2011,1.480109123,4668.091,987
Albania,8,Europe,Southern Europe,2010,1.401545263,4415.068,200
Albania,8,Europe,Southern Europe,2009,1.4243556,4488.408,200
Albania,8,Europe,Southern Europe,2008,1.475346321,4657.09,200
Albania,8,Europe,Southern Europe,2007,1.414116572,4477.407,200
Albania,8,Europe,Southern Europe,2006,1.215577689,3865.018,200
Albania,8,Europe,Southern Europe,2005,1.330897054,4253.72,200
Albania,8,Europe,Southern Europe,2004,1.295229117,4165.712,789
Albania,8,Europe,Southern Europe,2003,1.325577849,4294.057,200
Albania,8,Europe,Southern Europe,2002,1.149450177,3751.341,200
Albania,8,Europe,Southern Europe,2001,0.980891846,3223.293,789
Albania,8,Europe,Southern Europe,2000,0.91426794,3021.608,200
Albania,8,Europe,Southern Europe,1999,0.899635648,2984.938,200
Albania,8,Europe,Southern Europe,1998,0.527093427,1752.826,200
Albania,8,Europe,Southern Europe,1997,0.463422424,1543.807,200
Albania,8,Europe,Southern Europe,1996,0.603658798,2016.85,200
Albania,8,Europe,Southern Europe,1995,0.621385121,2086.523,787
Albania,8,Europe,Southern Europe,1994,0.569926961,1928.842,200
Albania,8,Europe,Southern Europe,1993,0.685695348,2343.213,200
Albania,8,Europe,Southern Europe,1992,0.692577704,2387.217,200
Albania,8,Europe,Southern Europe,1991,1.147870822,3971.361,456
Albania,8,Europe,Southern Europe,1990,2.172402188,7488.014,200
Algeria,12,Africa,Northern Africa,2011,3.22420156,121755.401,200
Algeria,12,Africa,Northern Africa,2010,3.218225408,119276.509,200
Algeria,12,Africa,Northern Africa,2009,3.335981792,121374.033,454
